Set ID,Linkage,VariationExplained_2PC,hclust_AvgSilWidth,AvgSilWidth_k,kmeans_Elbow,kmeans_Rsq,kmeans_AvgSilWidth,kmeans_k,pam_AvgSilWidth,pam_k,mclust_AvgSilWidth,mclust_k
1,ward.D,28.30,0.093,5,6,0.270,0.114,6,0.100,10,0.090,3
2,ward.D2,31.87,0.120,6,8,0.130,0.133,2,0.088,9,0.020,3
3,ward.D2,25.22,0.060,2,6,0.287,0.088,7,0.067,5,0.020,3
4,ward.D,40.20,0.140,2,6,0.346,0.156,2,0.136,2,0.090,5
