Group.1,q1_age,q49_marital,q50r1_nochild,q56_income,q57_mf,q13_visitfreq_social,q13_visitfreq_music,q13_visitfreq_video,q24_tech_posatt,q24_tech_enter,q24_tech_comm,q24_tech_negatv,q25_prsnlty_leader,q25_prsnlty_risk,q25_prsnlty_drive,q25_prsnlty_follower,q26_shopsavvy_bargain,q26_shopsavvy_brands,q26_shopsavvy_earn2spend,q26_shopsavvy_applover,q26_shopsavvy_children
1,1.9208211143695015,0.16715542521994134,0.9208211143695014,2.410557184750733,0.4046920821114369,2.8350439882697946,3.3548387096774195,2.5813782991202348,2.421700879765396,1.7961876832844574,1.9403714565004888,4.07624633431085,2.3951612903225805,2.3792766373411536,2.528592375366569,4.994134897360704,2.9486803519061584,3.6961876832844576,3.8260019550342133,3.3152492668621703,5.4985337243401755
2,1.8243243243243243,0.4099099099099099,0.4369369369369369,2.4144144144144146,0.40540540540540543,1.7713963963963963,1.9617117117117118,1.795045045045045,1.6405405405405407,1.6058558558558558,1.6171171171171168,2.1396396396396398,1.5867117117117118,1.6666666666666665,1.6497747747747749,2.2162162162162162,1.6734234234234233,1.744144144144144,1.7447447447447448,1.6891891891891893,1.7837837837837838
3,2.6052631578947367,0.7736842105263158,0.07631578947368421,3.0105263157894737,0.5473684210526316,2.580263157894737,3.0980263157894736,2.555263157894737,2.1342105263157896,1.568421052631579,1.7342105263157892,4.155263157894737,2.0467105263157896,2.1043859649122805,2.098684210526316,5.063157894736842,2.4802631578947367,2.982105263157895,3.181578947368421,2.6995614035087723,3.0789473684210527
4,1.651851851851852,0.1259259259259259,0.8666666666666667,2.2777777777777777,0.3888888888888889,2.575925925925926,2.946296296296296,2.262962962962963,1.9644444444444444,1.575925925925926,1.6259259259259256,3.564814814814815,1.7055555555555555,1.8320987654320986,2.0009259259259258,4.381481481481481,2.0833333333333335,2.2814814814814817,2.367901234567901,2.2098765432098766,4.5777777777777775
5,3.0061919504643964,0.7461300309597523,0.15789473684210525,3.018575851393189,0.653250773993808,3.1873065015479876,3.4914860681114552,3.168730650154799,2.9393188854489165,2.7043343653250775,2.982456140350877,3.3575851393188856,3.0348297213622293,3.0980392156862746,2.780185758513932,4.897832817337461,3.015479876160991,3.945510835913313,3.973168214654283,3.8725490196078436,4.086687306501548
6,1.5303030303030303,0.10606060606060606,0.7083333333333334,1.9583333333333333,0.3939393939393939,2.6619318181818183,2.9517045454545454,2.509469696969697,2.9265151515151517,3.0492424242424243,3.1262626262626263,3.303030303030303,3.152462121212121,3.1502525252525255,3.153409090909091,3.503787878787879,3.195075757575758,3.459848484848485,3.4027777777777777,3.4160353535353534,3.981060606060606
