q1_age,q11_appnum,q12_freeapppc,q48_edu,q49_marital,q50r1_nochild,q50r2_inftod,q50r3_6_12,q50r4_13_17,q50r5_adult,q56_income,q57_mf,q13_visitfreq_social,q13_visitfreq_music,q13_visitfreq_video,q24_tech_posatt,q24_tech_enter,q24_tech_comm,q24_tech_negatv,q25_prsnlty_leader,q25_prsnlty_risk,q25_prsnlty_drive,q25_prsnlty_follower,q26_shopsavvy_bargain,q26_shopsavvy_brands,q26_shopsavvy_earn2spend,q26_shopsavvy_applover,q26_shopsavvy_children,q2_apple,q2_andriod,q2_windows,q2_tablet,q2_other,q4_use_music_apps,q4_use_tv_apps,q4_use_game_apps,q4_use_social_apps,q4_use_news_apps,q4_use_shop_apps,q4_use_none_apps,q54_white,q54_black,q54_asian,q54_hawai,q54_native,q54_other,q55_latino,X,Y
4,2,2,4,1,0,0,1,0,0,7,0,3.25,3.25,1.75,2.4,2.5,2,5,1.6,3.5,2,5,4,5.8,4.666666666666667,4,2,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-4.464565172069885,-15.493848028543782
7,3,2,3,3,1,0,0,0,0,9,0,2.75,3,2.5,3,2,1.3333333333333333,4,2.2,2.5,2.75,5,4,3.8,5.333333333333333,4.4,6,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,6.75731869208844,12.157990277658024
4,2,5,4,1,0,0,1,0,0,3,1,3.25,3.25,3,2.2,2,3.6666666666666665,5,2.8,5,3.75,5,4,2.8,2.6666666666666665,3,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-6.6057717292581355,-17.175883721985713
8,3,5,2,1,0,0,0,0,1,10,1,3.25,4,3,4,4,5.666666666666667,3.5,3.6,7.5,4.5,5,4,3.4,4,5.8,6,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,-30.470966278425703,-9.792244407191198
7,3,5,4,2,0,0,0,0,1,6,1,2.75,2,2.5,1.8,2.5,3.6666666666666665,3,3.2,6,3.25,4,2.5,3.8,3.3333333333333335,4,2,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-22.13996660681833,-11.615320478170265
2,2,2,5,2,1,0,0,0,0,9,1,3.25,3.25,2.5,2.8,2.5,3.6666666666666665,4,2.4,6.5,2.5,3,3,3,3.6666666666666665,4.2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22.769866443316268,20.02973866928067
8,3,5,6,4,0,0,0,1,1,12,0,3,3.5,2.75,3.2,2.5,3.6666666666666665,5,2,5.5,2.25,6,2,3.6,3,3.4,2,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-16.708860023098893,-6.070605078832412
10,2,6,6,1,0,0,0,0,1,9,1,3.25,4,3.75,2.4,4,4.666666666666667,4,3.2,6.5,2.5,4,4.5,5.4,5,6.8,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-28.908643135584075,-11.370563870650718
2,3,5,4,2,1,0,0,0,0,6,0,3.25,3.75,1.75,1.6,1.5,1.3333333333333333,5,0.8,2.5,2.5,4,1.5,4.6,3.6666666666666665,3,6,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-1.9413716462357247,0.4522235849983038
3,2,5,3,2,0,1,0,0,0,4,1,2,2,1.75,1,1,1,1,2.2,4.5,1.5,5,2,2.2,2.3333333333333335,2.4,2,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,8.67116238004951,-10.518153736263637
4,3,6,4,2,1,0,0,0,0,4,0,2.5,3.5,3.5,1.2,2,1.3333333333333333,2,1.6,2.5,3.25,4,2.5,3.2,3,3.6,6,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,-4.866174318194116,2.9216211889893335
4,4,5,4,2,1,0,0,0,0,14,0,2,3.25,2.75,2.2,1,1,4,0.8,2,1,6,4,2.6,3,4,6,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,7.829298233095843,13.426881362853697
1,2,6,1,2,1,0,0,0,0,6,0,3,3.75,2,2.4,2,4.333333333333333,3.5,2.4,4,3.5,3,3,3.4,3.3333333333333335,3.6,4,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,25.579709750049474,17.96351902458001
2,3,4,3,2,1,0,0,0,0,6,0,1.75,2.75,1.25,2,2.5,2,4.5,2,2,3.25,3,2,3.2,3,3.4,6,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,11.745095713689762,6.405768524670796
2,0,2,4,2,1,0,0,0,0,7,0,1.25,2,1.75,1,1,1,1,1.6,3,2,2,2,2,2,2.4,2,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,11.83858785837562,-2.593444621499308
11,3,6,2,4,0,0,0,0,1,7,1,3.25,4,3.5,4,4.5,3.3333333333333335,3.5,2.8,6,2.5,5,3,5.4,3.3333333333333335,6,6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-41.77504804383946,-0.8965181666453925
3,4,5,6,2,1,0,0,0,0,6,0,2,3.5,1.75,2,1.5,2.6666666666666665,3,1.6,5,2.75,5,2.5,4,3.3333333333333335,4.8,6,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1.3585084293295382,9.944971292696513
3,3,4,4,2,1,0,0,0,0,7,0,1.75,3,2.25,2.6,3,3,3.5,2.6,4.5,3,3,3.5,2.8,2.6666666666666665,3.6,3,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,25.24650207263963,-4.282065571796827
5,3,5,4,2,1,0,0,0,0,10,1,2.25,3,2.75,2.2,1.5,3,4,2.6,5.5,3.5,6,3,3.8,3.6666666666666665,4.8,6,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-0.4879342798704871,10.300868540487384
7,2,3,2,2,1,0,0,0,0,9,0,3,4,3,2.2,1.5,1,6,1.8,3.5,2.75,5,4,3,3.3333333333333335,3.8,6,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,-13.047497610657311,1.2882923802637485
3,4,2,2,1,0,0,1,0,0,11,1,1,1,1,1,1,1,1,0.8,1.5,1,1,1,1,1,1.2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,16.20440897843764,-4.1493830351826615
3,3,3,3,4,0,1,0,0,0,4,0,2.75,3.75,2.5,1.8,1,1,4.5,1.2,2.5,1.5,5,1,2.6,4,1.8,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,8.94538205403938,-16.911426467641817
5,1,1,3,2,0,0,0,1,1,2,1,3,3.5,3.25,2.4,3,2.3333333333333335,2,1.8,4,2.5,6,1.5,3,3.6666666666666665,4,6,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,-14.942464407124586,-8.517140282131002
4,3,5,3,1,1,0,0,0,0,10,0,2,3,2.5,2,2,2,5.5,2,3,3,4,2,3.2,3.6666666666666665,3.6,6,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.003490426228327853,1.1286566754737015
